permno,adate,qdate,public_date,pe_exi,npm,opmad,roa,roe,de_ratio,intcov_ratio,curr_ratio,TICKER
10104,2014-05-31,2014-11-30,2015-01-31,17.454,0.281,0.391,0.199,0.238,0.999,14.982,3.837,ORCL
10104,2014-05-31,2014-11-30,2015-02-28,18.258,0.281,0.391,0.199,0.238,0.999,14.982,3.837,ORCL
10104,2014-05-31,2014-11-30,2015-03-31,17.979,0.281,0.391,0.199,0.238,0.999,14.982,3.837,ORCL
10104,2014-05-31,2015-02-28,2015-04-30,18.251,0.279,0.386,0.190,0.232,1.029,14.180,3.916,ORCL
10104,2014-05-31,2015-02-28,2015-05-31,18.197,0.279,0.386,0.190,0.232,1.029,14.180,3.916,ORCL
10104,2014-05-31,2015-02-28,2015-06-30,16.862,0.279,0.386,0.190,0.232,1.029,14.180,3.916,ORCL
10104,2015-05-31,2015-05-31,2015-07-31,18.072,0.260,0.372,0.170,0.207,1.270,12.431,4.132,ORCL
10104,2015-05-31,2015-05-31,2015-08-31,16.783,0.260,0.372,0.170,0.207,1.270,12.431,4.132,ORCL
10104,2015-05-31,2015-05-31,2015-09-30,16.344,0.260,0.372,0.170,0.207,1.270,12.431,4.132,ORCL
10104,2015-05-31,2015-08-31,2015-10-31,18.150,0.250,0.365,0.164,0.198,1.173,11.078,4.050,ORCL
10104,2015-05-31,2015-08-31,2015-11-30,18.210,0.250,0.365,0.164,0.198,1.173,11.078,4.050,ORCL
10104,2015-05-31,2015-08-31,2015-12-31,17.070,0.250,0.365,0.164,0.198,1.173,11.078,4.050,ORCL
10104,2015-05-31,2015-11-30,2016-01-31,17.457,0.245,0.356,0.154,0.192,1.235,9.934,4.040,ORCL
10104,2015-05-31,2015-11-30,2016-02-29,17.683,0.245,0.356,0.154,0.192,1.235,9.934,4.040,ORCL
10104,2015-05-31,2015-11-30,2016-03-31,19.668,0.245,0.356,0.154,0.192,1.235,9.934,4.040,ORCL
10104,2015-05-31,2016-02-29,2016-04-30,19.635,0.238,0.352,0.147,0.186,1.294,9.128,4.283,ORCL
10104,2015-05-31,2016-02-29,2016-05-31,19.803,0.238,0.352,0.147,0.186,1.294,9.128,4.283,ORCL
10104,2015-05-31,2016-02-29,2016-06-30,20.163,0.238,0.352,0.147,0.186,1.294,9.128,4.283,ORCL
10104,2016-05-31,2016-05-31,2016-07-31,19.826,0.240,0.352,0.139,0.184,1.362,8.893,3.737,ORCL
10104,2016-05-31,2016-05-31,2016-08-31,19.913,0.240,0.352,0.139,0.184,1.362,8.893,3.737,ORCL
10104,2016-05-31,2016-05-31,2016-09-30,18.976,0.240,0.352,0.139,0.184,1.362,8.893,3.737,ORCL
10104,2016-05-31,2016-08-31,2016-10-31,18.295,0.242,0.351,0.142,0.193,1.386,8.648,4.392,ORCL
10104,2016-05-31,2016-08-31,2016-11-30,19.138,0.242,0.351,0.142,0.193,1.386,8.648,4.392,ORCL
10104,2016-05-31,2016-08-31,2016-12-31,18.310,0.242,0.351,0.142,0.193,1.386,8.648,4.392,ORCL
10104,2016-05-31,2016-11-30,2017-01-31,19.284,0.237,0.353,0.138,0.189,1.445,8.270,4.305,ORCL
10104,2016-05-31,2016-11-30,2017-02-28,20.476,0.237,0.353,0.138,0.189,1.445,8.270,4.305,ORCL
10104,2016-05-31,2016-11-30,2017-03-31,21.447,0.237,0.353,0.138,0.189,1.445,8.270,4.305,ORCL
10104,2016-05-31,2017-02-28,2017-04-30,21.308,0.238,0.350,0.133,0.189,1.491,7.809,4.179,ORCL
10104,2016-05-31,2017-02-28,2017-05-31,21.512,0.238,0.350,0.133,0.189,1.491,7.809,4.179,ORCL
10104,2016-05-31,2017-02-28,2017-06-30,23.763,0.238,0.350,0.133,0.189,1.491,7.809,4.179,ORCL
10104,2017-05-31,2017-05-31,2017-07-31,22.593,0.247,0.349,0.126,0.183,1.499,7.323,3.082,ORCL
10104,2017-05-31,2017-05-31,2017-08-31,22.774,0.247,0.349,0.126,0.183,1.499,7.323,3.082,ORCL
10104,2017-05-31,2017-05-31,2017-09-30,21.878,0.247,0.349,0.126,0.183,1.499,7.323,3.082,ORCL
10104,2017-05-31,2017-08-31,2017-10-31,22.423,0.252,0.348,0.125,0.192,1.470,7.184,3.640,ORCL
10104,2017-05-31,2017-08-31,2017-11-30,21.612,0.252,0.348,0.125,0.192,1.470,7.184,3.640,ORCL
10104,2017-05-31,2017-08-31,2017-12-31,20.828,0.252,0.348,0.125,0.192,1.470,7.184,3.640,ORCL
10104,2017-05-31,2017-11-30,2018-01-31,22.333,0.253,0.348,0.126,0.188,1.455,7.204,3.863,ORCL
10104,2017-05-31,2017-11-30,2018-02-28,21.935,0.253,0.348,0.126,0.188,1.455,7.204,3.863,ORCL
10104,2017-05-31,2017-11-30,2018-03-31,19.805,0.253,0.348,0.126,0.188,1.455,7.204,3.863,ORCL
10104,2017-05-31,2018-02-28,2018-04-30,55.024,0.090,0.351,0.125,0.065,1.548,7.048,3.906,ORCL
10104,2017-05-31,2018-02-28,2018-05-31,56.289,0.090,0.351,0.125,0.065,1.548,7.048,3.906,ORCL
10104,2017-05-31,2018-02-28,2018-06-30,53.084,0.090,0.351,0.125,0.065,1.548,7.048,3.906,ORCL
10104,2018-05-31,2018-05-31,2018-07-31,52.978,0.096,0.358,0.125,0.076,1.991,7.045,3.957,ORCL
10104,2018-05-31,2018-05-31,2018-08-31,53.978,0.096,0.358,0.125,0.076,1.991,7.045,3.957,ORCL
10104,2018-05-31,2018-05-31,2018-09-30,57.289,0.096,0.358,0.125,0.076,1.991,7.045,3.957,ORCL
