,permno,public_date,pe_exi,npm,opmad,roa,roe,de_ratio,intcov_ratio,curr_ratio,TICKER,year,Revenue,EPS
0,10104,2015-01-31,17.454,0.281,0.391,0.199,0.238,0.999,14.982,3.837,ORCL,2015,37047.0,2.11
1,10104,2015-02-28,18.258,0.281,0.391,0.199,0.238,0.999,14.982,3.837,ORCL,2015,37047.0,2.11
2,10104,2015-03-31,17.979,0.281,0.391,0.199,0.238,0.999,14.982,3.837,ORCL,2015,37047.0,2.11
3,10104,2015-04-30,18.251,0.279,0.386,0.19,0.232,1.029,14.18,3.916,ORCL,2015,37047.0,2.11
4,10104,2015-05-31,18.197,0.279,0.386,0.19,0.232,1.029,14.18,3.916,ORCL,2015,37047.0,2.11
5,10104,2015-06-30,16.862,0.279,0.386,0.19,0.232,1.029,14.18,3.916,ORCL,2015,37047.0,2.11
6,10104,2015-07-31,18.072,0.26,0.372,0.17,0.207,1.27,12.431,4.132,ORCL,2015,37047.0,2.11
7,10104,2015-08-31,16.783,0.26,0.372,0.17,0.207,1.27,12.431,4.132,ORCL,2015,37047.0,2.11
8,10104,2015-09-30,16.344,0.26,0.372,0.17,0.207,1.27,12.431,4.132,ORCL,2015,37047.0,2.11
9,10104,2015-10-31,18.15,0.25,0.365,0.164,0.198,1.173,11.078,4.05,ORCL,2015,37047.0,2.11
10,10104,2015-11-30,18.21,0.25,0.365,0.164,0.198,1.173,11.078,4.05,ORCL,2015,37047.0,2.11
11,10104,2015-12-31,17.07,0.25,0.365,0.164,0.198,1.173,11.078,4.05,ORCL,2015,37047.0,2.11
12,10104,2016-01-31,17.457,0.245,0.356,0.154,0.192,1.235,9.934,4.04,ORCL,2016,37728.0,2.27
13,10104,2016-02-29,17.683,0.245,0.356,0.154,0.192,1.235,9.934,4.04,ORCL,2016,37728.0,2.27
14,10104,2016-03-31,19.668,0.245,0.356,0.154,0.192,1.235,9.934,4.04,ORCL,2016,37728.0,2.27
15,10104,2016-04-30,19.635,0.238,0.352,0.147,0.186,1.294,9.128,4.283,ORCL,2016,37728.0,2.27
16,10104,2016-05-31,19.803,0.238,0.352,0.147,0.186,1.294,9.128,4.283,ORCL,2016,37728.0,2.27
17,10104,2016-06-30,20.163,0.238,0.352,0.147,0.186,1.294,9.128,4.283,ORCL,2016,37728.0,2.27
18,10104,2016-07-31,19.826,0.24,0.352,0.139,0.184,1.362,8.893,3.737,ORCL,2016,37728.0,2.27
19,10104,2016-08-31,19.913,0.24,0.352,0.139,0.184,1.362,8.893,3.737,ORCL,2016,37728.0,2.27
20,10104,2016-09-30,18.976,0.24,0.352,0.139,0.184,1.362,8.893,3.737,ORCL,2016,37728.0,2.27
21,10104,2016-10-31,18.295,0.242,0.351,0.142,0.193,1.386,8.648,4.392,ORCL,2016,37728.0,2.27
22,10104,2016-11-30,19.138,0.242,0.351,0.142,0.193,1.386,8.648,4.392,ORCL,2016,37728.0,2.27
23,10104,2016-12-31,18.31,0.242,0.351,0.142,0.193,1.386,8.648,4.392,ORCL,2016,37728.0,2.27
24,10104,2017-01-31,19.284,0.237,0.353,0.138,0.189,1.445,8.27,4.305,ORCL,2017,39831.0,0.93
25,10104,2017-02-28,20.476,0.237,0.353,0.138,0.189,1.445,8.27,4.305,ORCL,2017,39831.0,0.93
