datadate,fyear,datafmt,tic,epspx
12/31/15,2015,STD,ABT,1.73
12/31/16,2016,STD,ABT,0.71
12/31/17,2017,STD,ABT,0.2
12/31/18,2018,STD,ABT,1.32
12/31/19,2019,STD,ABT,2.07
12/31/20,2020,STD,ABT,2.51
12/31/21,2021,STD,ABT,3.97
12/31/22,2022,STD,ABT,3.94
12/31/23,2023,STD,ABT,3.28
12/31/24,2024,STD,ABT,7.67
12/31/15,2015,STD,AMD,-0.84
12/31/16,2016,STD,AMD,-0.6
12/31/17,2017,STD,AMD,0.04
12/31/18,2018,STD,AMD,0.34
12/31/19,2019,STD,AMD,0.31
12/31/20,2020,STD,AMD,2.1
12/31/21,2021,STD,AMD,2.61
12/31/22,2022,STD,AMD,0.85
12/31/23,2023,STD,AMD,0.53
12/31/24,2024,STD,AMD,1.01
9/30/15,2015,STD,APD,5.95
9/30/16,2016,STD,APD,7
9/30/17,2017,STD,APD,5.2
9/30/18,2018,STD,APD,6.64
9/30/19,2019,STD,APD,7.99
9/30/20,2020,STD,APD,8.59
9/30/21,2021,STD,APD,9.16
9/30/22,2022,STD,APD,10.11
9/30/23,2023,STD,APD,10.31
9/30/24,2024,STD,APD,17.27
12/31/15,2015,STD,HON,6.11
12/31/16,2016,STD,HON,6.29
12/31/17,2017,STD,HON,2.17
12/31/18,2018,STD,HON,9.1
12/31/19,2019,STD,HON,8.52
12/31/20,2020,STD,HON,6.79
12/31/21,2021,STD,HON,8.01
12/31/22,2022,STD,HON,7.33
12/31/23,2023,STD,HON,8.53
12/31/24,2024,STD,HON,8.76
12/31/15,2015,STD,HES,-10.61
12/31/16,2016,STD,HES,-19.92
12/31/17,2017,STD,HES,-13.12
12/31/18,2018,STD,HES,-1.1
12/31/19,2019,STD,HES,-1.37
12/31/20,2020,STD,HES,-10.15
12/31/21,2021,STD,HES,1.82
12/31/22,2022,STD,HES,6.8
12/31/23,2023,STD,HES,4.52
12/31/24,2024,STD,HES,9.03
12/31/15,2015,STD,AEP,3.59
12/31/16,2016,STD,AEP,1.25
12/31/17,2017,STD,AEP,3.89
12/31/18,2018,STD,AEP,3.9
12/31/19,2019,STD,AEP,3.89
12/31/20,2020,STD,AEP,4.44
12/31/21,2021,STD,AEP,4.97
12/31/22,2022,STD,AEP,4.51
12/31/23,2023,STD,AEP,4.26
12/31/24,2024,STD,AEP,5.6
12/31/15,2015,STD,AIG,1.69
12/31/16,2016,STD,AIG,-0.7
12/31/17,2017,STD,AIG,-6.54
12/31/18,2018,STD,AIG,0.04
12/31/19,2019,STD,AIG,3.74
12/31/20,2020,STD,AIG,-6.88
12/31/21,2021,STD,AIG,10.95
12/31/22,2022,STD,AIG,13.16
12/31/23,2023,STD,AIG,5.02
12/31/24,2024,STD,AIG,4.11
12/31/15,2015,STD,AMGN,9.15
12/31/16,2016,STD,AMGN,10.32
12/31/17,2017,STD,AMGN,2.71
12/31/18,2018,STD,AMGN,12.7
12/31/19,2019,STD,AMGN,12.96
12/31/20,2020,STD,AMGN,12.4
12/31/21,2021,STD,AMGN,10.34
12/31/22,2022,STD,AMGN,12.18
12/31/23,2023,STD,AMGN,12.56
12/31/24,2024,STD,AMGN,7.62
10/31/15,2015,STD,ADI,2.23
10/31/16,2016,STD,ADI,2.79
10/31/17,2017,STD,ADI,2.09
10/31/18,2018,STD,ADI,4.02
10/31/19,2019,STD,ADI,3.68
10/31/20,2020,STD,ADI,3.31
10/31/21,2021,STD,ADI,3.5
10/31/22,2022,STD,ADI,5.29
10/31/23,2023,STD,ADI,6.6
10/31/24,2024,STD,ADI,3.3
9/30/15,2015,STD,AAPL,9.28
9/30/16,2016,STD,AAPL,8.35
9/30/17,2017,STD,AAPL,9.27
9/30/18,2018,STD,AAPL,12.01
9/30/19,2019,STD,AAPL,11.97
9/30/20,2020,STD,AAPL,3.31
9/30/21,2021,STD,AAPL,5.67
9/30/22,2022,STD,AAPL,6.15
9/30/23,2023,STD,AAPL,6.16
9/30/24,2024,STD,AAPL,6.11
10/31/15,2015,STD,AMAT,1.13
10/31/16,2016,STD,AMAT,1.56
10/31/17,2017,STD,AMAT,3.2
10/31/18,2018,STD,AMAT,3.27
10/31/19,2019,STD,AMAT,2.89
10/31/20,2020,STD,AMAT,3.95
10/31/21,2021,STD,AMAT,6.47
10/31/22,2022,STD,AMAT,7.49
10/31/23,2023,STD,AMAT,8.16
10/31/24,2024,STD,AMAT,8.68
1/31/15,2014,STD,ADSK,0.36
1/31/16,2015,STD,ADSK,-1.46
1/31/17,2016,STD,ADSK,-2.61
1/31/18,2017,STD,ADSK,-2.58
1/31/19,2018,STD,ADSK,-0.37
1/31/20,2019,STD,ADSK,0.98
1/31/21,2020,STD,ADSK,5.51
1/31/22,2021,STD,ADSK,2.26
1/31/23,2022,STD,ADSK,3.81
1/31/24,2023,STD,ADSK,4.23
6/30/15,2015,STD,ADP,2.91
6/30/16,2016,STD,ADP,3.27
6/30/17,2017,STD,ADP,3.87
6/30/18,2018,STD,ADP,3.68
6/30/19,2019,STD,ADP,5.27
6/30/20,2020,STD,ADP,5.73
6/30/21,2021,STD,ADP,6.1
6/30/22,2022,STD,ADP,7.04
6/30/23,2023,STD,ADP,8.25
6/30/24,2024,STD,ADP,9.14
12/31/15,2015,STD,BAX,0.72
12/31/16,2016,STD,BAX,9.1
12/31/17,2017,STD,BAX,1.33
12/31/18,2018,STD,BAX,3.05
12/31/19,2019,STD,BAX,1.97
12/31/20,2020,STD,BAX,2.17
12/31/21,2021,STD,BAX,2.56
12/31/22,2022,STD,BAX,-4.83
12/31/23,2023,STD,BAX,-0.15
12/31/24,2024,STD,BAX,-0.64
12/31/15,2015,STD,VZ,4.38
12/31/16,2016,STD,VZ,3.22
12/31/17,2017,STD,VZ,7.37
12/31/18,2018,STD,VZ,3.76
12/31/19,2019,STD,VZ,4.66
12/31/20,2020,STD,VZ,4.3
12/31/21,2021,STD,VZ,5.32
12/31/22,2022,STD,VZ,5.06
12/31/23,2023,STD,VZ,2.76
12/31/24,2024,STD,VZ,4.15
12/31/15,2015,STD,BRK.B,9.77
12/31/16,2016,STD,BRK.B,9.76
12/31/17,2017,STD,BRK.B,18.22
12/31/18,2018,STD,BRK.B,1.63
12/31/19,2019,STD,BRK.B,33.22
12/31/20,2020,STD,BRK.B,17.78
12/31/21,2021,STD,BRK.B,39.64
12/31/22,2022,STD,BRK.B,-10.36
12/31/23,2023,STD,BRK.B,44.27
12/31/24,2024,STD,BRK.B,41.27
12/31/15,2015,STD,BMY,0.94
12/31/16,2016,STD,BMY,2.67
12/31/17,2017,STD,BMY,0.61
12/31/18,2018,STD,BMY,3.01
12/31/19,2019,STD,BMY,2.02
12/31/20,2020,STD,BMY,-3.99
12/31/21,2021,STD,BMY,3.15
12/31/22,2022,STD,BMY,2.97
12/31/23,2023,STD,BMY,3.88
12/31/24,2024,STD,BMY,-4.41
4/30/15,2014,STD,BF.B,3.23
4/30/16,2015,STD,BF.B,5.26
4/30/17,2016,STD,BF.B,1.72
4/30/18,2017,STD,BF.B,1.49
4/30/19,2018,STD,BF.B,1.74
4/30/20,2019,STD,BF.B,1.73
4/30/21,2020,STD,BF.B,1.89
4/30/22,2021,STD,BF.B,1.75
4/30/23,2022,STD,BF.B,1.63
4/30/24,2023,STD,BF.B,2.15
12/31/15,2015,STD,CI,8.17
12/31/16,2016,STD,CI,7.31
12/31/17,2017,STD,CI,8.92
12/31/18,2018,STD,CI,10.69
12/31/19,2019,STD,CI,13.58
12/31/20,2020,STD,CI,23.17
12/31/21,2021,STD,CI,15.87
12/31/22,2022,STD,CI,21.54
12/31/23,2023,STD,CI,17.57
12/31/24,2024,STD,CI,12.25
2/28/15,2014,STD,STZ,4.35
2/29/16,2015,STD,STZ,5.36
2/28/17,2016,STD,STZ,7.7
2/28/18,2017,STD,STZ,11.9
2/28/19,2018,STD,STZ,18.03
2/29/20,2019,STD,STZ,-0.06
2/28/21,2020,STD,STZ,10.32
2/28/22,2021,STD,STZ,-0.21
2/28/23,2022,STD,STZ,-0.37
2/29/24,2023,STD,STZ,9.42
12/31/15,2015,STD,CAT,3.54
12/31/16,2016,STD,CAT,-0.11
12/31/17,2017,STD,CAT,1.27
12/31/18,2018,STD,CAT,10.39
12/31/19,2019,STD,CAT,10.85
12/31/20,2020,STD,CAT,5.51
12/31/21,2021,STD,CAT,11.93
12/31/22,2022,STD,CAT,12.72
12/31/23,2023,STD,CAT,20.24
12/31/24,2024,STD,CAT,22.17
12/31/15,2015,STD,JPM,6.05
12/31/16,2016,STD,JPM,6.24
12/31/17,2017,STD,JPM,6.35
12/31/18,2018,STD,JPM,9.04
12/31/19,2019,STD,JPM,10.75
12/31/20,2020,STD,JPM,8.89
12/31/21,2021,STD,JPM,15.39
12/31/22,2022,STD,JPM,12.1
12/31/23,2023,STD,JPM,16.25
12/31/24,2024,STD,JPM,19.79
12/31/15,2015,STD,CVX,2.46
12/31/16,2016,STD,CVX,-0.27
12/31/17,2017,STD,CVX,4.88
12/31/18,2018,STD,CVX,7.81
12/31/19,2019,STD,CVX,1.55
12/31/20,2020,STD,CVX,-2.96
12/31/21,2021,STD,CVX,8.15
12/31/22,2022,STD,CVX,18.36
12/31/23,2023,STD,CVX,11.41
12/31/24,2024,STD,CVX,9.76
12/31/15,2015,STD,CHD,3.13
12/31/16,2016,STD,CHD,1.78
12/31/17,2017,STD,CHD,2.97
12/31/18,2018,STD,CHD,2.32
12/31/19,2019,STD,CHD,2.5
12/31/20,2020,STD,CHD,3.18
12/31/21,2021,STD,CHD,3.38
12/31/22,2022,STD,CHD,1.7
12/31/23,2023,STD,CHD,3.09
12/31/24,2024,STD,CHD,2.39
5/31/15,2014,STD,CTAS,3.49
5/31/16,2015,STD,CTAS,4.15
5/31/17,2016,STD,CTAS,4.27
5/31/18,2017,STD,CTAS,7.24
5/31/19,2018,STD,CTAS,8.23
5/31/20,2019,STD,CTAS,8.36
5/31/21,2020,STD,CTAS,10.52
5/31/22,2021,STD,CTAS,11.92
5/31/23,2022,STD,CTAS,13.21
5/31/24,2023,STD,CTAS,15.4
12/31/15,2015,STD,KO,1.69
12/31/16,2016,STD,KO,1.51
12/31/17,2017,STD,KO,0.28
12/31/18,2018,STD,KO,1.58
12/31/19,2019,STD,KO,2.09
12/31/20,2020,STD,KO,1.8
12/31/21,2021,STD,KO,2.26
12/31/22,2022,STD,KO,2.2
12/31/23,2023,STD,KO,2.48
12/31/24,2024,STD,KO,2.47
12/31/15,2015,STD,CL,1.53
12/31/16,2016,STD,CL,2.74
